date,open,high,low,close,tradecount,date_ordinal,processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2024-08-08,55133.76,62745.14,54730.0,61685.99,2603042,1723075200.0,0.11228735091416127,0.9999999999999998,0.59411660453417,0.26640971581377504,0.24874459189192102,0.019580449734994926,-0.059508738062773285,-0.06934262391208808,-0.12885136197486136,-0.10927091223986643,0.1394736796520546,0.40588339546582963,0.9999999999999997,0.8605263203479451,1.109270912239866,1.128851361974861,1.0693426239120878,0.9999999999999997
2024-08-09,61686.0,61744.37,59535.0,60837.99,1827809,1723161600.0,-0.013842409307287744,-0.2396121246224433,-0.379253145214434,0.03190609864799194,0.1896921388386266,0.032419106733263994,-0.04350499314376649,-0.07087133048412526,-0.11437632362789175,-0.08195721689462776,0.10773492194399883,0.13964102059199077,-0.23961212462244322,-0.34734704656644205,-0.15765490772781546,-0.12523580099455145,-0.16874079413831794,-0.2396121246224432
2024-08-10,60837.99,61470.58,60242.0,60923.51,800499,1723248000.0,0.001404713543484379,-0.0001987998818957122,0.2377184463064564,-0.25340364000542254,0.0752910575033088,0.04040051797601395,-0.028001909823186587,-0.07220327183906564,-0.10020518166225223,-0.05980466368623828,0.015486393817070523,-0.23791724618835203,-0.00019879988189563935,-0.01568519369896615,0.05960586380434266,0.1000063817803566,0.07200447195717002,-0.0001987998818956116
2024-08-11,60923.51,61858.0,58286.73,58712.59,1319469,1723334400.0,-0.036964958668207114,-0.6026869468794694,-0.3275758105996307,-0.2003540085098687,-0.03033760716512994,0.04165963560694846,-0.012838404948234532,-0.07324075126355387,-0.0860791562117884,-0.04441952060483994,-0.07475712776996987,-0.2751111362798386,-0.6026869468794693,-0.5279298191094994,-0.5582674262746293,-0.5166077906676809,-0.5294461956159154,-0.6026869468794693
2024-08-12,58712.59,60711.09,57642.21,59346.64,2293837,1723420800.0,0.010741321896940523,0.14640646260460075,0.1397787789678083,0.13833349351972093,-0.1009953051520807,0.04139264673825129,0.001840063818550904,-0.07394321528764992,-0.07210315146909901,-0.030710504730847722,-0.13170580988292843,0.006627683636792503,0.1464064626046008,0.27811227248752923,0.17711696733544852,0.21850961407369981,0.2203496778922507,0.14640646260460077
2024-08-13,59346.64,61578.1,58392.88,60587.15,1713485,1723507200.0,0.020687318243458014,0.30258045532982536,0.2679068608551492,0.16447218198859162,-0.10627133057497472,0.0350916807730228,0.015700496266164467,-0.07431943397812804,-0.058618937711963574,-0.023527256938940776,-0.1297985875139155,0.034673594474676134,0.30258045532982536,0.43237904284374085,0.3261077122687661,0.36119939304178894,0.37689988930795343,0.30258045532982536
2024-08-14,60587.16,61800.0,58433.18,58683.39,1729342,1723593600.0,-0.031926101818424826,-0.5235658246123285,-0.2682205326930622,-0.14073000126071405,-0.09280069242210852,0.024361910607541,0.028168774259828146,-0.07434528310381279,-0.046176508843984644,-0.021814598236443643,-0.11461529065855217,-0.25534529191926625,-0.5235658246123285,-0.40895053395377623,-0.5017512263758848,-0.47738931576834376,-0.4492205415085156,-0.5235658246123284
2024-08-15,58683.39,59849.38,56078.54,57541.06,2507858,1723680000.0,-0.019657942646201854,-0.33092877402809934,-0.11811350914185538,-0.13445566729418204,-0.06665167510377512,0.022798500931650294,0.039407937777398996,-0.073914361197336,-0.03450642341993701,-0.011707922488286716,-0.07835959759206183,-0.21281526488624386,-0.3309287740280992,-0.25256917643603743,-0.31922085153981256,-0.29642235060816224,-0.25701441283076326,-0.3309287740280993
2024-08-16,57541.05,59817.76,57098.62,58874.6,1999539,1723766400.0,0.022910978337253942,0.3374968038999165,0.23919117605875567,0.13652842016080285,-0.048279757332525694,0.034322107902064365,0.04873084286759691,-0.07299598575677772,-0.024265142889180816,0.01005696501288355,-0.038222792319642145,0.0983056278411607,0.3374968038999164,0.3757195962195585,0.3274398388870328,0.3617619467890972,0.4104927896566941,0.3374968038999164
2024-08-17,58874.59,59700.0,58785.05,59491.99,807159,1723852800.0,0.010431923382209742,0.14154822621426874,0.04128364348346266,0.11516707311718123,-0.05178556695261725,0.053333058870472065,0.05514594158286411,-0.07159592388709411,-0.016449982304230004,0.03688307656624206,-0.014902490386375186,0.10026458273080605,0.1415482262142687,0.15645071660064389,0.10466514964802665,0.15799820851849872,0.21314415010136284,0.1415482262142687
