date,cpc_embedding_0,cpc_embedding_1,cpc_embedding_2,cpc_embedding_3,cpc_embedding_4,cpc_embedding_5,cpc_embedding_6,cpc_embedding_7,cpc_embedding_8,cpc_embedding_9,cpc_embedding_10,cpc_embedding_11,cpc_embedding_12,cpc_embedding_13,cpc_embedding_14,cpc_embedding_15
2023-03-12,0.021792233,-0.9999523,0.95410204,-0.99290603,-0.81828356,-0.99986315,0.98004246,0.99999976,-0.25490236,0.61704826,0.9745246,-0.73841196,-0.53142107,0.81980824,0.64214826,-0.023586424
2023-03-13,-0.6437021,-0.9999782,0.99117875,-0.9956819,-0.61661446,-0.9998976,0.99258053,0.9999999,0.65187776,-0.26123348,0.9410438,-0.92195153,-0.084600806,0.9090727,0.7348335,0.01283326
2023-03-14,-0.9549902,-0.99995977,0.9924428,-0.99685997,0.4701531,-0.9978172,0.9953421,0.99999976,0.95110065,-0.9193558,0.53584737,-0.856732,0.21468365,0.9006555,0.8024352,0.17230114
2023-03-15,-0.99678755,-0.99828243,0.9745304,-0.9929087,0.9335971,-0.4026793,0.99872404,0.9999358,0.96163064,-0.9638001,-0.46543363,-0.20622389,0.095977485,0.9552062,0.85611933,0.7436204
2023-03-16,-0.9997707,-0.8743908,0.46733826,-0.9045589,0.9966074,0.973343,0.9999334,0.9377383,0.74360967,-0.9438399,-0.95838904,0.9459406,-0.10037494,0.9510981,0.8698414,0.8860323
2023-03-17,-0.9997002,-0.50669426,-0.49816722,-0.7553433,0.999802,0.989975,0.9999992,0.4954987,-0.33930436,-0.884234,-0.9835151,0.9758108,-0.2092827,0.9677862,0.6929873,0.87335485
2023-03-18,-0.999305,0.107243836,-0.4610339,-0.48107922,0.99997646,0.9862898,1.0,0.029321253,-0.7348461,-0.7073683,-0.9437573,0.9576583,-0.3509665,0.99364984,0.16801158,0.92508054
2023-03-19,-0.9989913,0.45650607,0.07981116,-0.14943558,0.9999919,0.98072475,1.0,-0.24840422,-0.5676124,-0.5156214,-0.93485665,0.92462945,-0.5647483,0.99275094,-0.18015113,0.7860052
2023-03-20,-0.9983508,0.4306225,0.644632,0.14490843,0.99998796,0.95968443,0.9999999,-0.20731045,-0.10905477,-0.40521127,-0.94979614,0.82485294,-0.72701204,0.985895,-0.38026732,0.31564546
2023-03-21,-0.9978398,0.41919357,0.7407237,0.35559553,0.9999499,0.8913689,0.99999994,-0.078995936,-0.29416648,-0.28646576,-0.96126825,0.82212013,-0.80087984,0.9786577,-0.5122134,0.24050327
2023-03-22,-0.99109584,0.4525839,0.820635,0.51848143,0.99969876,0.70908266,0.99999994,0.28434563,-0.65693086,-0.1646773,-0.9354434,0.51393497,-0.8454366,0.9876807,-0.6709273,0.35159114
2023-03-23,-0.9880076,0.16005646,0.88173306,0.63734716,0.99969,0.72551936,0.9999989,0.38902852,-0.21226303,-0.00869368,-0.9217627,0.55980575,-0.90162617,0.96453357,-0.7102221,0.009848447
2023-03-24,-0.9746434,-0.01669176,0.91448253,0.6475675,0.9974339,0.3414212,0.9999984,0.63265365,-0.41328898,0.009029889,-0.9060398,0.3121859,-0.9283545,0.95066833,-0.7352547,-0.026994525
2023-03-25,-0.9568958,-0.33647758,0.9367156,0.5978052,0.9938517,0.17179832,0.9999832,0.78169143,-0.094761714,0.094734825,-0.8630545,0.301205,-0.9524307,0.8932889,-0.7187471,-0.11950964
2023-03-26,-0.9249731,-0.6086192,0.9684771,0.34476137,0.9554947,-0.5109167,0.9999495,0.9137335,-0.004468508,-0.054127432,-0.8080701,-0.19674844,-0.9668382,0.86125445,-0.6572742,-0.24846259
2023-03-27,-0.93854636,-0.7846963,0.9691305,0.046919584,0.9198391,-0.67413515,0.99973077,0.96444833,0.43775138,-0.0637052,-0.7384664,0.019411812,-0.9757447,0.7590233,-0.5443133,-0.22848666
2023-03-28,-0.92264646,-0.8640681,0.9517067,-0.17445207,0.68837106,-0.8394612,0.9998073,0.9854297,0.05062776,-0.21058191,-0.68516266,-0.1399052,-0.978631,0.7854461,-0.367677,-0.1037539
2023-03-29,-0.9233315,-0.9219307,0.96263486,-0.36869097,0.7570446,-0.864944,0.9992403,0.99380654,0.44984055,-0.14103287,-0.5589058,-0.08673596,-0.9781201,0.71205616,-0.17662962,-0.034671817
2023-03-30,-0.94439894,-0.9491268,0.9339207,-0.49368188,0.7307393,-0.8433094,0.99913895,0.9970712,0.36490694,-0.20740804,-0.53728366,0.101992525,-0.9734323,0.67089844,0.027329087,0.03046469
2023-03-31,-0.9489279,-0.9628361,0.8786455,-0.5766858,0.7760744,-0.7183889,0.99942994,0.9982177,0.13600752,-0.2390441,-0.5515174,0.3353066,-0.9752936,0.6950895,0.17708823,0.17506261
2023-04-01,-0.9581936,-0.9721371,0.8165447,-0.61477673,0.90795165,-0.44043523,0.999146,0.99764395,0.3726549,-0.16568065,-0.55144066,0.6574766,-0.9805323,0.5467068,0.25823137,0.055719662
2023-04-02,-0.9684409,-0.9624821,0.40211502,-0.60537404,0.9507128,0.17365718,0.9996422,0.98935056,-0.0028182343,-0.01251439,-0.63845116,0.8995101,-0.9848157,0.4072273,0.26346824,0.1305355
2023-04-03,-0.9000693,-0.91184497,0.05713924,-0.53397596,0.94487476,0.14650239,0.9998736,0.9736619,-0.60097337,0.13382013,-0.49501428,0.8194443,-0.9878394,0.6161338,0.02082637,0.2821613
2023-04-04,-0.80982566,-0.89215404,0.30802816,-0.41652703,0.9602689,0.104761474,0.9996751,0.9608352,-0.5892855,0.43180686,-0.15896381,0.80855685,-0.9921486,0.6771714,-0.20263876,0.34271428
2023-04-05,-0.7087195,-0.9088421,0.61148846,-0.35569996,0.91657186,-0.3305041,0.9996307,0.97979397,-0.66373855,0.4672587,-0.030634172,0.66000354,-0.99496067,0.78074926,-0.342863,0.27021492
2023-04-06,-0.66463864,-0.94489545,0.83965415,-0.38763374,0.8220117,-0.7024773,0.99906284,0.9921587,-0.47680804,0.5137591,0.07369875,0.51959074,-0.9964887,0.77410936,-0.34810403,0.13490401
2023-04-07,-0.717517,-0.97215784,0.9393212,-0.4918916,0.6536911,-0.8968303,0.9984908,0.9972626,-0.06545868,0.37062615,0.118981525,0.2515649,-0.9948077,0.769508,-0.23770592,-0.059723184
2023-04-08,-0.84599847,-0.9849509,0.9435449,-0.5914481,0.6356586,-0.90364385,0.9983194,0.9989154,0.28039175,0.119490854,0.028194934,0.28547117,-0.9875884,0.7148706,-0.046550423,-0.035531715
