date,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47,embedding_48,embedding_49,embedding_50,embedding_51,embedding_52,embedding_53,embedding_54,embedding_55,embedding_56,embedding_57,embedding_58,embedding_59,embedding_60,embedding_61,embedding_62,embedding_63
2024-09-28,-0.15448949,-0.2893811,-0.04794547,-0.38700032,-0.04307206,0.028736107,-0.20523281,0.038283758,-0.052193224,-0.7982071,0.4489206,-0.08177388,0.18972129,0.7512483,-0.057184,0.279494,-0.14375654,-0.3417829,0.05300604,-0.08774783,-0.2071943,-0.08871536,0.25843728,0.67955774,-0.051802687,-0.054628924,0.1512813,-0.2421569,0.15122217,0.47077587,-0.1585865,0.17843544,0.25500706,0.21868291,-0.0230707,-0.17211546,0.18960558,-0.28455892,-0.11760753,-0.8983792,-0.6439109,0.60675865,0.15962689,-0.21476375,0.27649692,-0.34238017,0.25262943,-0.2875989,-0.2904717,0.21012059,0.275186,0.13716343,-0.64208335,0.6341234,0.5963076,-0.19255078,-0.0802692,-0.21301228,-0.22012831,-0.005177116,-0.0993282,0.36961687,-0.088905655,-0.5661835
2024-09-29,-0.15521912,-0.2866718,-0.052457646,-0.37585866,-0.032239214,0.02250465,-0.20495154,0.03192123,-0.043319263,-0.7775257,0.44828233,-0.07988632,0.1805822,0.7406882,-0.07299557,0.2764573,-0.1424173,-0.34604332,0.054438185,-0.08611475,-0.2084125,-0.08581178,0.25008217,0.66336894,-0.045492142,-0.06525915,0.14664443,-0.25853762,0.16017744,0.46116468,-0.15936589,0.17577517,0.25925443,0.2265594,-0.009993769,-0.17652042,0.20146954,-0.28227592,-0.114940286,-0.894764,-0.6346239,0.58801335,0.16464472,-0.2133127,0.28435034,-0.34827536,0.25303686,-0.26853567,-0.2777474,0.20862126,0.27539462,0.14501728,-0.63560253,0.6169397,0.5901087,-0.17619291,-0.08163631,-0.22116895,-0.21304817,0.0049498994,-0.0978677,0.36866477,-0.09279375,-0.55485237
2024-09-30,-0.15679555,-0.2796618,-0.0553737,-0.36148506,-0.020374542,0.013365589,-0.20596911,0.026900247,-0.032615684,-0.75077546,0.44739792,-0.07542764,0.1673221,0.7320773,-0.094840914,0.2716772,-0.13666914,-0.3500646,0.060730156,-0.08120063,-0.21409325,-0.07920532,0.23904508,0.644486,-0.033664793,-0.08148759,0.13796236,-0.27693275,0.17293993,0.45225722,-0.16068347,0.16836989,0.26693285,0.2342977,0.006936826,-0.18208644,0.21779554,-0.2791642,-0.1147854,-0.891433,-0.62642664,0.56819135,0.17067301,-0.21135686,0.29733723,-0.35448307,0.25229666,-0.24718775,-0.25897315,0.2113195,0.2737872,0.15449366,-0.6275843,0.5969143,0.57736254,-0.1564446,-0.083061635,-0.23344325,-0.20444103,0.016381519,-0.09869719,0.37319353,-0.09041711,-0.543888
2024-10-01,-0.15415369,-0.2786859,-0.05726354,-0.35862058,-0.0068812016,0.0142696425,-0.20569745,0.01785887,-0.02741889,-0.74499184,0.44571584,-0.08238524,0.15801221,0.73077255,-0.09511767,0.26735437,-0.13217686,-0.35522407,0.07014607,-0.077422336,-0.21795912,-0.074481115,0.2322449,0.64292353,-0.03336454,-0.094630346,0.13394073,-0.28621975,0.17982867,0.4517513,-0.16678469,0.16333121,0.2665283,0.25123212,0.0066022202,-0.18286063,0.22875945,-0.28290465,-0.11262122,-0.8965409,-0.6292496,0.5565236,0.16578546,-0.2028317,0.30332106,-0.36541593,0.2546649,-0.24469195,-0.26034787,0.21577126,0.28145987,0.15985084,-0.6269673,0.59311295,0.5692776,-0.16039155,-0.08455302,-0.24563791,-0.19973822,0.026021132,-0.09804992,0.37309548,-0.087822296,-0.54915774
2024-10-02,-0.14736214,-0.28452045,-0.056513608,-0.36585313,-8.157827e-05,0.027511321,-0.20334838,0.011975467,-0.028290967,-0.7578462,0.44497257,-0.09522836,0.15562579,0.7357995,-0.074998125,0.26681355,-0.13383695,-0.3599435,0.07454738,-0.07541166,-0.21705607,-0.07766782,0.23387556,0.6559635,-0.042264096,-0.1000181,0.13823567,-0.28611848,0.17891634,0.45428225,-0.17303433,0.16208267,0.25811517,0.26729605,-0.007303335,-0.18045087,0.2272287,-0.28872418,-0.1107974,-0.9084502,-0.63801473,0.5573748,0.1541312,-0.1928197,0.30026042,-0.3776589,0.2568488,-0.258179,-0.27733412,0.21943429,0.292458,0.1620003,-0.6308695,0.60517323,0.5724644,-0.17735013,-0.08553834,-0.2523169,-0.20123933,0.029602977,-0.096805565,0.36669716,-0.091370605,-0.5638156
2024-10-03,-0.14808,-0.29144797,-0.05962032,-0.37326026,0.003987659,0.036072932,-0.2008122,0.0045180023,-0.03058356,-0.7721844,0.44408,-0.106586725,0.16009146,0.735207,-0.057418574,0.27043593,-0.14089373,-0.36120632,0.06984939,-0.08041006,-0.20901774,-0.081994936,0.23918624,0.6639148,-0.05693952,-0.09348782,0.1458891,-0.28242722,0.17083082,0.45450935,-0.17583692,0.16911331,0.24987611,0.27948365,-0.017664947,-0.17985474,0.22318484,-0.29286405,-0.10456882,-0.91217524,-0.6427797,0.5572001,0.14629367,-0.1888657,0.291283,-0.37944317,0.26299214,-0.26526073,-0.29506058,0.2113178,0.3054105,0.16270345,-0.6350488,0.61118,0.5850505,-0.1956702,-0.084630355,-0.25076738,-0.1995887,0.030297825,-0.09288692,0.35940132,-0.10003228,-0.56691754
2024-10-04,-0.15304054,-0.2984657,-0.06755069,-0.38084638,0.011831349,0.03843359,-0.19788988,-0.007743284,-0.03229282,-0.78624165,0.44195578,-0.11873606,0.16757736,0.72886705,-0.043906037,0.27340907,-0.14918467,-0.3606611,0.061836813,-0.09054214,-0.19727592,-0.08417104,0.24195774,0.6669594,-0.076932915,-0.08083388,0.153828,-0.27855816,0.15967831,0.45507112,-0.17833805,0.1810486,0.24232945,0.2927543,-0.026927121,-0.1789963,0.22141133,-0.29725072,-0.092991255,-0.9100712,-0.643424,0.5509662,0.14113292,-0.1868058,0.27961478,-0.37617594,0.27333745,-0.26702654,-0.31425294,0.19692051,0.32021487,0.16068682,-0.6393487,0.6113084,0.5993403,-0.21539317,-0.0826211,-0.24538185,-0.19608845,0.032120153,-0.08607317,0.3495328,-0.111223884,-0.5631622
2024-10-05,-0.15873593,-0.3056542,-0.0764547,-0.3935095,0.01590222,0.0401221,-0.1944655,-0.016561445,-0.037894446,-0.8070171,0.44202167,-0.12815352,0.18211961,0.7218847,-0.028666575,0.2779867,-0.15826699,-0.35861045,0.04912589,-0.10271272,-0.18182056,-0.09050642,0.24424262,0.6705567,-0.09915935,-0.058104336,0.16485949,-0.26859197,0.14518431,0.45876417,-0.17852688,0.19717294,0.23538914,0.29572788,-0.04280106,-0.17488433,0.21146794,-0.3016725,-0.08013315,-0.9059079,-0.6426223,0.5508106,0.13936555,-0.18763886,0.26402256,-0.3689679,0.28219962,-0.2728594,-0.33502176,0.1839894,0.32958743,0.1510559,-0.6446417,0.6151205,0.61643225,-0.23426877,-0.07968652,-0.22952658,-0.19820385,0.028152274,-0.07992157,0.3352069,-0.12418761,-0.55970216
2024-10-06,-0.15907438,-0.3033577,-0.082108244,-0.3808005,0.030985298,0.033025585,-0.19366089,-0.024578698,-0.02792507,-0.78308487,0.4401192,-0.12725404,0.17215711,0.70907223,-0.04736534,0.27458304,-0.15833935,-0.36180615,0.050190073,-0.10343543,-0.1816684,-0.086786136,0.23466574,0.6525796,-0.09344538,-0.06912587,0.16222355,-0.2901406,0.15503868,0.44721958,-0.18027042,0.1958906,0.24066406,0.30677947,-0.027376987,-0.18074568,0.22561331,-0.29923964,-0.074875414,-0.9020832,-0.6301361,0.5275608,0.14428195,-0.18614592,0.2721806,-0.37556732,0.28422207,-0.24897619,-0.32437894,0.17851844,0.3319774,0.16169289,-0.63759077,0.59409744,0.6125862,-0.21570694,-0.08033959,-0.23915033,-0.18929742,0.04115419,-0.07655039,0.3339494,-0.13257864,-0.5444988
2024-10-07,-0.16138393,-0.29913956,-0.085980415,-0.37126178,0.042721882,0.024956383,-0.19415501,-0.029725838,-0.02037846,-0.763266,0.44021982,-0.123851,0.16389841,0.70061314,-0.065467834,0.27268815,-0.15516676,-0.36504897,0.052957337,-0.1024501,-0.18318784,-0.08286597,0.22410616,0.636653,-0.085970126,-0.07839396,0.15808184,-0.3061802,0.1649926,0.44100937,-0.18157378,0.19302192,0.24802013,0.3121733,-0.015548207,-0.18475588,0.23718569,-0.2977758,-0.071594864,-0.89917743,-0.622396,0.51129216,0.15092732,-0.18535669,0.28127098,-0.38014787,0.28514045,-0.23082876,-0.3120654,0.17915931,0.33164704,0.16781405,-0.6321054,0.5771696,0.60614395,-0.20033564,-0.080649525,-0.24614568,-0.18269207,0.050895944,-0.07634882,0.33539465,-0.13431345,-0.5340469
